NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2020-11-29,22.1,-25.4486111,-49.23055554,922.91
CWB,2020-11-30,21.3,-25.4486111,-49.23055554,922.91
CWB,2020-12-01,19.1,-25.4486111,-49.23055554,922.91
CWB,2020-12-02,21.5,-25.4486111,-49.23055554,922.91
CWB,2020-12-03,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-12-04,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-05,16.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-06,15.8,-25.4486111,-49.23055554,922.91
CWB,2020-12-07,18.8,-25.4486111,-49.23055554,922.91
CWB,2020-12-08,21.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-09,21.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-10,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-12-11,22.4,-25.4486111,-49.23055554,922.91
CWB,2020-12-12,23.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-13,21.5,-25.4486111,-49.23055554,922.91
CWB,2020-12-14,21.9,-25.4486111,-49.23055554,922.91
CWB,2020-12-15,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-12-16,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-17,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-12-18,21.4,-25.4486111,-49.23055554,922.91
CWB,2020-12-19,23.3,-25.4486111,-49.23055554,922.91
CWB,2020-12-20,22.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-21,21.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-22,19.6,-25.4486111,-49.23055554,922.91
CWB,2020-12-23,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-24,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-25,19.1,-25.4486111,-49.23055554,922.91
CWB,2020-12-26,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-12-27,20.6,-25.4486111,-49.23055554,922.91
CWB,2020-12-28,21.0,-25.4486111,-49.23055554,922.91
CWB,2020-12-29,21.9,-25.4486111,-49.23055554,922.91
CWB,2020-12-30,24.2,-25.4486111,-49.23055554,922.91
CWB,2020-12-31,21.6,-25.4486111,-49.23055554,922.91
CWB,2021-01-01,20.0,-25.4486111,-49.23055554,922.91
CWB,2021-01-02,18.9,-25.4486111,-49.23055554,922.91
CWB,2021-01-03,18.2,-25.4486111,-49.23055554,922.91
